name,internet,reg_internet
"Computer Point Ltd",http://www.computerpointltd.co.in,"                                                                                                                                                                                                                                                          "
"Tata Coffee Ltd",http://www.tatacoffee.com,www.tsrdarashaw.com
"Coromandel International Ltd",http://www.coromandel.biz,"www.kfintech.com                                                                                                                                                                                                                                          "
"Cosmo First Ltd",http://www.cosmofirst.com,"                                                                                                                                                                                                                                                          "
"CG Power & Industrial Solutions Ltd",http://www.cgglobal.com,"www.dfssl.com                                                                                                                                                                                                                                             "
"DCM Ltd",http://www.dcm.in,"www.mcsregistrars.com                                                                                                                                                                                                                                     "
"Dalmia Bharat Sugar & Industries Ltd",http://www.dalmiasugar.com,"www.kfintech.com                                                                                                                                                                                                                                          "
"Deccan Cements Ltd",http://www.deccancements.com,"www.kfintech.com                                                                                                                                                                                                                                          "
"Deepak Fertilizers & Petrochemicals Corp Ltd",http://www.dfpcl.com,"www.kfintech.com                                                                                                                                                                                                                                          "
"Deepak Nitrite Ltd",http://www.deepaknitrite.com,www.linkintime.co.in
"Deltron Ltd",http://www.deltronlimited.in,"www.alankit.com                                                                                                                                                                                                                                           "
"DMCC Speciality Chemicals Ltd",http://www.dmcc.com,www.linkintime.co.in
"DCW Ltd",http://www.dcwltd.com,"www.bigshareonline.com                                                                                                                                                                                                                                    "
"Diamines & Chemicals Ltd",http://www.dacl.co.in,www.linkintime.co.in
"Fermenta Biotech Ltd",http://www.fermentabiotech.com,www.linkintime.co.in
"EID Parry (India) Ltd",http://www.eidparry.com,"www.kfintech.com                                                                                                                                                                                                                                          "
"Procter & Gamble Health Ltd",http://www.pghealthindia.com,"www.kfintech.com                                                                                                                                                                                                                                          "
"EIH Ltd",http://www.eihltd.com,www.eihltd.com
"Eicher Motors Ltd",http://www.eicher.in,"www.linkintime.co.in                                                                                                                                                                                                                                      "
"Elecon Engineering Company Ltd",http://www.elecon.com,www.linkintime.co.in
"Imagicaaworld Entertainment Ltd",http://www.imagicaaworld.com,www.linkintime.co.in
